Player;Nation;Pos;Squad;Comp;Age;Born;90s;G/Sh;PasAss;ScaDrib;Tkl+Int
Mickaël Cuisance;FRA;MF;Sampdoria;Serie A;23;1999;0.5;0;0;0;10
Matheus Cunha;BRA;FW;Wolves;Premier League;23;1999;2.8;0;0.71;0;1.07
Matheus Cunha;BRA;FWMF;Atlético Madrid;La Liga;23;1999;4.2;0;1.43;0;1.43
Curro;ESP;MF;Almería;La Liga;27;1996;0.5;0;4;0;4
Marco D'Alessandro;ITA;DFFW;Monza;Serie A;31;1991;3.2;0;0.94;0;1.56
Danilo D'Ambrosio;ITA;DF;Inter;Serie A;34;1988;1.2;0;0;0;5
Luca D'Andrea;ITA;FW;Sassuolo;Serie A;18;2004;3.5;0;2.86;0.29;1.43
Damien Da Silva;FRA;DF;Lyon;Ligue 1;34;1988;3.8;0;0;0;3.42
Moanes Dabbur;ISR;FW;Hoffenheim;Bundesliga;30;1992;6;0.36;1.5;0.17;1.67
Colin Dagba;FRA;DF;Strasbourg;Ligue 1;24;1998;6.2;0;1.77;0;4.19
Finn Dahmen;GER;GK;Mainz 05;Bundesliga;24;1998;5;0;0;0;0
Mahmoud Dahoud;GER;MF;Dortmund;Bundesliga;27;1996;2.2;0;1.36;0;5.45
Patson Daka;ZAM;FW;Leicester City;Premier League;24;1998;7.8;0.16;1.28;0;1.41
Thijs Dallinga;NED;FW;Toulouse;Ligue 1;22;2000;13.4;0.26;1.27;0.07;0.6
Diogo Dalot;POR;DF;Manchester Utd;Premier League;23;1999;14.1;0;1.56;0.07;3.83
Muhammed Damar;GER;MF;Hoffenheim;Bundesliga;18;2004;1.6;0;1.88;0;3.75
Mikkel Damsgaard;DEN;MFFW;Brentford;Premier League;22;2000;3.2;0;1.56;0;3.44
Flavius Daniliuc;AUT;DF;Salernitana;Serie A;21;2001;11.5;0;0.17;0;3.3
Flavius Daniliuc;AUT;DF;Nice;Ligue 1;21;2001;1;0;1;0;2
Danilo;BRA;MF;Nott'ham Forest;Premier League;21;2001;1;0;1;0;6
Danilo;BRA;DF;Juventus;Serie A;31;1991;20.1;0.13;0.6;0;3.73
Arnaut Danjuma;NED;FW;Tottenham;Premier League;26;1997;0.1;0;10;0;0
